Brand Name,Category Name,Channel Type Name,Channel Name,Campaign Name,Start Date,End Date,Total Cost
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign Festival,2023-07-07,2023-07-10,2203.22
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign Festival,2023-07-07,2023-07-10,1757.2199999999998
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign Evergreen,2023-01-17,2023-01-18,1171.92
Brand A,Eye,Digital Display,Owned Site,Digiztal Display Campaign standard,2023-02-07,2023-02-09,2644.0299999999997
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign Festival,2023-07-14,2023-07-19,3952.13
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign Festival,2023-07-24,2023-07-29,3070.33
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign standard,2023-08-14,2023-08-14,3638.62
Brand A,Eye,Digital Display,Owned Site,Digitals Displays Campaign Festival,2023-08-07,2023-08-09,4196.02
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign standard,2023-01-11,2023-01-15,977.74
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign standard,2023-07-03,2023-07-10,2823.0299999999997
Brand A,Eye,Digital Display,Owned Site,Digital Display Campaign standard,2023-07-13,2023-07-20,1931.2199999999998
